table,variable,value,label
person,school_county,49045,Tooele County
person,school_county,49047,Uintah County
person,school_county,49049,Utah County
person,school_county,49051,Wasatch County
person,school_county,49053,Washington County
person,school_county,49055,Wayne County
person,school_county,49057,Weber County
person,school_county,56001,"Albany County, WY"
person,ethnicity_1,0,Not selected
person,ethnicity_1,1,Selected
person,ethnicity_1,995,Missing Response
person,ethnicity_2,0,Not selected
person,ethnicity_2,1,Selected
person,ethnicity_2,995,Missing Response
person,ethnicity_3,0,Not selected
person,ethnicity_3,1,Selected
person,ethnicity_3,995,Missing Response
person,ethnicity_4,0,Not selected
person,ethnicity_4,1,Selected
person,ethnicity_4,995,Missing Response
person,ethnicity_997,0,Not selected
person,ethnicity_997,1,Selected
person,ethnicity_997,995,Missing Response
person,ethnicity_999,0,Not selected
person,ethnicity_999,1,Selected
person,ethnicity_999,995,Missing Response
person,race_1,0,Not selected
person,race_1,1,Selected
person,race_1,995,Missing Response
person,race_2,0,Not selected
person,race_2,1,Selected
person,race_2,995,Missing Response
person,race_3,0,Not selected
person,race_3,1,Selected
person,race_3,995,Missing Response
person,race_4,0,Not selected
person,race_4,1,Selected
person,race_4,995,Missing Response
person,race_5,0,Not selected
person,race_5,1,Selected
person,race_5,995,Missing Response
person,race_997,0,Not selected
person,race_997,1,Selected
person,race_997,995,Missing Response
person,race_999,0,Not selected
person,race_999,1,Selected
person,race_999,995,Missing Response
person,gender,1,Female
person,gender,2,Male
person,gender,3,Non-binary
person,gender,995,Missing Response
person,gender,997,Other/prefer to self-describe
person,gender,999,Prefer not to answer
person,can_drive,1,"Yes, drives"
person,can_drive,3,"No, does not drive"
person,can_drive,995,Missing Response
person,work_freq,1,6-7 days a week
person,work_freq,2,5 days a week
person,work_freq,3,4 days a week
person,work_freq,4,3 days a week
person,work_freq,5,2 days a week
person,work_freq,6,1 day a week
person,work_freq,995,Missing Response
person,commute_freq,1,6-7 days a week
person,commute_freq,2,5 days a week
person,commute_freq,3,4 days a week
person,commute_freq,4,3 days a week
person,commute_freq,5,2 days a week
person,commute_freq,6,1 day a week
person,commute_freq,7,1-3 days a month
person,commute_freq,8,Less than monthly
person,commute_freq,995,Missing Response
person,commute_freq,996,Never
person,telework_freq,1,6-7 days a week
person,telework_freq,2,5 days a week
person,telework_freq,3,4 days a week
person,telework_freq,4,3 days a week
person,telework_freq,5,2 days a week
person,telework_freq,6,1 day a week
person,telework_freq,7,1-3 days a month
person,telework_freq,8,Less than monthly
person,telework_freq,995,Missing Response
person,telework_freq,996,Never
person,work_mode,1,Walk (or jog/wheelchair)
person,work_mode,100,Household vehicle (or motorcycle)
person,work_mode,101,"Other vehicle (e.g., friend's car, rental, work car)"
person,work_mode,102,"Bus, shuttle, or vanpool"
person,work_mode,103,Bicycle or e-bicycle (personal or bikeshare)
person,work_mode,104,Other
person,work_mode,105,"Rail (e.g., light rail, commuter rail)"
person,work_mode,106,"Uber/Lyft, taxi, or car service"
person,work_mode,107,"Micromobility (e.g., scooter, moped, skateboard)"
person,work_mode,995,Missing Response
person,work_vehicle_park,1,Parking lot/garage
person,work_vehicle_park,2,On-street parking
person,work_vehicle_park,3,Park & Ride lot
person,work_vehicle_park,4,"Don't park (e.g., get dropped off)"
person,work_vehicle_park,995,Missing Response
person,work_vehicle_park,997,Other
person,work_vehicle_park_pay,1,"Parking is always free at/near work, at Park & Ride, etc."
person,work_vehicle_park_pay,2,Employer pays ALL parking costs (for me)
person,work_vehicle_park_pay,3,Employer offers discounted parking pass (I pay some)
person,work_vehicle_park_pay,4,I pay all parking costs (employer pays none)
person,work_vehicle_park_pay,995,Missing Response
person,work_vehicle_park_pay,998,Don't know
person,remote_work_ability,0,No
person,remote_work_ability,1,Yes
person,remote_work_ability,995,Missing Response
person,remote_work_ability,998,Don't know
person,commute_subsidy_1,0,Not selected
person,commute_subsidy_1,1,Selected
person,commute_subsidy_1,995,Missing Response
person,commute_subsidy_2,0,Not selected
person,commute_subsidy_2,1,Selected
person,commute_subsidy_2,995,Missing Response
person,commute_subsidy_3,0,Not selected
person,commute_subsidy_3,1,Selected
person,commute_subsidy_3,995,Missing Response
person,commute_subsidy_4,0,Not selected
person,commute_subsidy_4,1,Selected
person,commute_subsidy_4,995,Missing Response
person,commute_subsidy_5,0,Not selected
person,commute_subsidy_5,1,Selected
person,commute_subsidy_5,995,Missing Response
person,commute_subsidy_6,0,Not selected
person,commute_subsidy_6,1,Selected
person,commute_subsidy_6,995,Missing Response
person,commute_subsidy_7,0,Not selected
person,commute_subsidy_7,1,Selected
person,commute_subsidy_7,995,Missing Response
person,commute_subsidy_8,0,Not selected
person,commute_subsidy_8,1,Selected
person,commute_subsidy_8,995,Missing Response
person,commute_subsidy_9,0,Not selected
person,commute_subsidy_9,1,Selected
person,commute_subsidy_9,995,Missing Response
person,commute_subsidy_10,0,Not selected
person,commute_subsidy_10,1,Selected
person,commute_subsidy_10,995,Missing Response
person,commute_subsidy_11,0,Not selected
person,commute_subsidy_11,1,Selected
person,commute_subsidy_11,995,Missing Response
person,commute_subsidy_12,0,Not selected
person,commute_subsidy_12,1,Selected
person,commute_subsidy_12,995,Missing Response
person,commute_subsidy_996,0,Not selected
person,commute_subsidy_996,1,Selected
person,commute_subsidy_996,995,Missing Response
person,commute_subsidy_998,0,Not selected
person,commute_subsidy_998,1,Selected
person,commute_subsidy_998,995,Missing response
person,commute_subsidy_use_1,0,Not selected
person,commute_subsidy_use_1,1,Selected
person,commute_subsidy_use_1,995,Missing Response
person,commute_subsidy_use_2,0,Not selected
person,commute_subsidy_use_2,1,Selected
person,commute_subsidy_use_2,995,Missing Response
person,commute_subsidy_use_3,0,Not selected
person,commute_subsidy_use_3,1,Selected
person,commute_subsidy_use_3,995,Missing Response
person,commute_subsidy_use_4,0,Not selected
person,commute_subsidy_use_4,1,Selected
person,commute_subsidy_use_4,995,Missing Response
person,commute_subsidy_use_5,0,Not selected
person,commute_subsidy_use_5,1,Selected
person,commute_subsidy_use_5,995,Missing Response
person,commute_subsidy_use_6,0,Not selected
person,commute_subsidy_use_6,1,Selected
person,commute_subsidy_use_6,995,Missing Response
person,commute_subsidy_use_7,0,Not selected
person,commute_subsidy_use_7,1,Selected
person,commute_subsidy_use_7,995,Missing Response
person,commute_subsidy_use_8,0,Not selected
person,commute_subsidy_use_8,1,Selected
person,commute_subsidy_use_8,995,Missing Response
person,commute_subsidy_use_9,0,Not selected
person,commute_subsidy_use_9,1,Selected
person,commute_subsidy_use_9,995,Missing Response
person,commute_subsidy_use_10,0,Not selected
person,commute_subsidy_use_10,1,Selected
person,commute_subsidy_use_10,995,Missing Response
person,commute_subsidy_use_11,0,Not selected
person,commute_subsidy_use_11,1,Selected
person,commute_subsidy_use_11,995,Missing Response
person,commute_subsidy_use_12,0,Not selected
person,commute_subsidy_use_12,1,Selected
person,commute_subsidy_use_12,995,Missing Response
person,commute_subsidy_use_996,0,Not selected
person,commute_subsidy_use_996,1,Selected
person,commute_subsidy_use_996,995,Missing Response
person,industry,1,Financial services
person,industry,2,Real estate
person,industry,3,"Professional and business services (e.g., consulting, legal, marketing)"
person,industry,4,"Personal services (e.g., hair styling, personal assistance, pet sitting)"
person,industry,5,"Hospitality (e.g., restaurant, accommodation)"
person,industry,6,"Natural resources (e.g., forestry, fishery, energy)"
person,industry,7,Education (public or private)
person,industry,8,"Childcare (e.g., nanny, babysitter)"
person,industry,9,Health care
person,industry,10,Sports and fitness
person,industry,11,Social assistance
person,industry,12,Arts and entertainment
person,industry,13,Retail
person,industry,14,"Manufacturing (e.g., aerospace & defense, electrical, machinery)"
person,industry,15,Transportation and utilities
person,industry,16,Construction or landscaping
person,industry,17,Government
person,industry,18,Military
person,industry,19,Technology and telecommunications
person,industry,20,Media
person,industry,995,Missing Response
person,industry,997,Other
person,school_freq,1,6-7 days a week
person,school_freq,2,5 days a week
person,school_freq,3,4 days a week
person,school_freq,4,3 days a week
person,school_freq,5,2 days a week
person,school_freq,6,1 day a week
person,school_freq,7,1-3 days a month
person,school_freq,8,Less than monthly
person,school_freq,995,Missing Response
person,school_freq,996,Never
person,remote_class_freq,1,6-7 days a week
person,remote_class_freq,2,5 days a week
person,remote_class_freq,3,4 days a week
person,remote_class_freq,4,3 days a week
person,remote_class_freq,5,2 days a week
person,remote_class_freq,6,1 day a week
person,remote_class_freq,7,1-3 days a month
person,remote_class_freq,8,Less than monthly
person,remote_class_freq,995,Missing Response
person,remote_class_freq,996,Never
person,school_mode,1,Walk (or jog/wheelchair)
person,school_mode,24,School bus
person,school_mode,100,Household vehicle (or motorcycle)
person,school_mode,101,"Other vehicle (e.g., friend's car, rental, work car)"
person,school_mode,102,"Bus, shuttle, or vanpool"
person,school_mode,103,Bicycle or e-bicycle
person,school_mode,104,Other
person,school_mode,105,"Rail (e.g., train, subway)"
person,school_mode,106,"Uber/Lyft, taxi, or car service"
person,school_mode,107,"Micromobility (e.g., scooter, moped, skateboard)"
person,school_mode,995,Missing Response
person,transit_freq,1,6-7 days a week
person,transit_freq,2,5 days a week
person,transit_freq,3,4 days a week
person,transit_freq,4,2-3 days a week
person,transit_freq,5,1 day a week
person,transit_freq,6,1-3 days a month
person,transit_freq,7,Less than monthly
person,transit_freq,995,Missing Response
person,transit_freq,996,Never
person,participate,0,No
person,participate,1,Yes
person,participate,995,Missing response
person,vehicle,6,Household vehicle 1
person,vehicle,7,Household vehicle 2
person,vehicle,8,Household vehicle 3
person,vehicle,9,Household vehicle 4
person,vehicle,10,Household vehicle 5
person,vehicle,11,Household vehicle 6
person,vehicle,12,Household vehicle 7
person,vehicle,18,"A carshare vehicle (e.g., ZipCar)"
person,vehicle,995,Missing Response
person,vehicle,996,None (I do not drive a vehicle)
person,vehicle,997,Other vehicle
person,disability,0,No
person,disability,1,Yes
person,disability,995,Missing Response
person,disability,999,Prefer not to answer
person,barriers_1,0,Not selected
person,barriers_1,1,Selected
person,barriers_1,995,Missing Response
person,barriers_2,0,Not selected
person,barriers_2,1,Selected
person,barriers_2,995,Missing Response
person,barriers_3,0,Not selected
person,barriers_3,1,Selected
person,barriers_3,995,Missing Response
person,barriers_4,0,Not selected
person,barriers_4,1,Selected
person,barriers_4,995,Missing Response
person,barriers_5,0,Not selected
person,barriers_5,1,Selected
person,barriers_5,995,Missing Response
person,barriers_6,0,Not selected
person,barriers_6,1,Selected
person,barriers_6,995,Missing Response
person,barriers_7,0,Not selected
person,barriers_7,1,Selected
person,barriers_7,995,Missing Response
person,barriers_8,0,Not selected
person,barriers_8,1,Selected
person,barriers_8,995,Missing Response
person,barriers_996,0,Not selected
person,barriers_996,1,Selected
person,barriers_996,995,Missing Response
person,barriers_997,0,Not selected
person,barriers_997,1,Selected
person,barriers_997,995,Missing Response
person,barriers_999,0,Not selected
person,barriers_999,1,Selected
person,barriers_999,995,Missing Response
person,education,1,Less than high school
person,education,2,High school graduate/GED
person,education,3,Some college
person,education,4,Vocational/technical training
person,education,5,Associate degree
person,education,6,Bachelor's degree
person,education,7,Graduate/post-graduate degree
person,education,995,Missing Response
person,education,999,Prefer not to answer
vehicle,vehicle_num,1,Household vehicle number 1
vehicle,vehicle_num,2,Household vehicle number 2
vehicle,vehicle_num,3,Household vehicle number 3
vehicle,vehicle_num,4,Household vehicle number 4
vehicle,vehicle_num,5,Household vehicle number 5
vehicle,vehicle_num,6,Household vehicle number 6
vehicle,vehicle_num,7,Household vehicle number 7
vehicle,vehicle_num,8,Household vehicle number 8
vehicle,vehicle_num,995,Missing Response
vehicle,year,1980,1980 or earlier
vehicle,year,1981,1981
vehicle,year,1982,1982
vehicle,year,1983,1983
vehicle,year,1984,1984
vehicle,year,1985,1985
vehicle,year,1986,1986
vehicle,year,1987,1987
vehicle,year,1988,1988
vehicle,year,1989,1989
vehicle,year,1990,1990
vehicle,year,1991,1991
vehicle,year,1992,1992
vehicle,year,1993,1993
vehicle,year,1994,1994
vehicle,year,1995,1995
vehicle,year,1996,1996
vehicle,year,1997,1997
vehicle,year,1998,1998
vehicle,year,1999,1999
vehicle,year,2000,2000
vehicle,year,2001,2001
vehicle,year,2002,2002
vehicle,year,2003,2003
vehicle,year,2004,2004
vehicle,year,2005,2005
vehicle,year,2006,2006
vehicle,year,2007,2007
vehicle,year,2008,2008
vehicle,year,2009,2009
vehicle,year,2010,2010
vehicle,year,2011,2011
vehicle,year,2012,2012
vehicle,year,2013,2013
vehicle,year,2014,2014
vehicle,year,2015,2015
vehicle,year,2016,2016
vehicle,year,2017,2017
vehicle,year,2018,2018
vehicle,year,2019,2019
vehicle,year,2020,2020
vehicle,year,2021,2021
vehicle,year,2022,2022
vehicle,year,2023,2023
vehicle,year,2024,2024
vehicle,fuel_type,1,Gas
vehicle,fuel_type,2,Hybrid (HEV)
vehicle,fuel_type,3,Plug-in hybrid (PHEV)
vehicle,fuel_type,4,Electric (EV)
vehicle,fuel_type,5,Diesel
vehicle,fuel_type,6,"Other (e.g., natural gas, bio-diesel)"
vehicle,toll_transponder,0,No
vehicle,toll_transponder,1,Yes
day,day_num,1,Day 1
day,day_num,2,Day 2
day,day_num,3,Day 3
day,day_num,4,Day 4
day,day_num,5,Day 5
day,day_num,6,Day 6
day,day_num,7,Day 7
day,day_num,995,Missing Response
day,travel_dow,1,Monday
day,travel_dow,2,Tuesday
day,travel_dow,3,Wednesday
day,travel_dow,4,Thursday
day,travel_dow,5,Friday
day,travel_dow,6,Saturday
day,travel_dow,7,Sunday
day,hh_day_complete,0,No
day,hh_day_complete,1,Yes
day,hh_day_survey_complete,0,No
day,hh_day_survey_complete,1,Yes
day,begin_day,1,Home
day,begin_day,2,Someone else's home
day,begin_day,3,Work
day,begin_day,4,"Your other home (e.g., partner, second home)"
day,begin_day,5,"Traveling (e.g., red-eye flight)"
day,begin_day,7,"Temporary lodging (e.g., hotel, vacation rental)"
day,begin_day,995,Missing Response
day,begin_day,997,Other
day,end_day,1,Home
day,end_day,2,Someone else's home
day,end_day,3,Work
day,end_day,4,"Your other home (e.g., partner, second home)"
day,end_day,5,"Traveling (e.g., red-eye flight)"
day,end_day,7,"Temporary lodging (e.g., hotel, vacation rental)"
day,end_day,995,Missing Response
day,end_day,997,Other
day,no_travel_1,0,Not selected
day,no_travel_1,1,Selected
day,no_travel_1,995,Missing Response
day,no_travel_2,0,Not selected
day,no_travel_2,1,Selected
day,no_travel_2,995,Missing Response
day,no_travel_3,0,Not selected
day,no_travel_3,1,Selected
day,no_travel_3,995,Missing Response
day,no_travel_4,0,Not selected
day,no_travel_4,1,Selected
day,no_travel_4,995,Missing Response
day,no_travel_5,0,Not selected
day,no_travel_5,1,Selected
day,no_travel_5,995,Missing Response
day,no_travel_6,0,Not selected
day,no_travel_6,1,Selected
day,no_travel_6,995,Missing Response
day,no_travel_7,0,Not selected
day,no_travel_7,1,Selected
day,no_travel_7,995,Missing Response
day,no_travel_8,0,Not selected
day,no_travel_8,1,Selected
day,no_travel_8,995,Missing Response
day,no_travel_9,0,Not selected
day,no_travel_9,1,Selected
day,no_travel_9,995,Missing Response
day,no_travel_11,0,Not selected
day,no_travel_11,1,Selected
day,no_travel_11,995,Missing Response
day,no_travel_12,0,Not selected
day,no_travel_12,1,Selected
day,no_travel_12,995,Missing Response
day,no_travel_99,0,Not selected
day,no_travel_99,1,Selected
day,no_travel_99,995,Missing Response
day,made_travel,1,Person made trips on day
day,made_travel,2,Person did not make trips on day
day,made_travel,995,Missing response
day,made_travel,998,Don't know
day,made_travel,999,Prefer not to answer
day,shop_online,0,No
day,shop_online,1,Yes
day,shop_online,995,Missing Response
day,delivery_2,0,Not selected
day,delivery_2,1,Selected
day,delivery_2,995,Missing Response
day,delivery_3,0,Not selected
day,delivery_3,1,Selected
day,delivery_3,995,Missing Response
day,delivery_4,0,Not selected
day,delivery_4,1,Selected
day,delivery_4,995,Missing Response
day,delivery_5,0,Not selected
day,delivery_5,1,Selected
day,delivery_5,995,Missing Response
day,delivery_6,0,Not selected
day,delivery_6,1,Selected
day,delivery_6,995,Missing Response
day,delivery_7,0,Not selected
day,delivery_7,1,Selected
day,delivery_7,995,Missing Response
day,delivery_8,0,Not selected
day,delivery_8,1,Selected
day,delivery_8,995,Missing Response
day,delivery_996,0,Not selected
day,delivery_996,1,Selected
day,delivery_996,995,Missing Response
day,ev_charge,1,Yes
day,ev_charge,2,No
day,ev_charge,995,Missing Response
day,ev_charge,998,Don't know
day,school_daily,1,Yes
day,school_daily,2,No
day,school_daily,995,Missing Response
day,attend_school_1,0,Not selected
day,attend_school_1,1,Selected
day,attend_school_1,995,Missing Response
day,attend_school_2,0,Not selected
day,attend_school_2,1,Selected
day,attend_school_2,995,Missing Response
day,attend_school_3,0,Not selected
day,attend_school_3,1,Selected
day,attend_school_3,995,Missing Response
day,attend_school_998,0,Not selected
day,attend_school_998,1,Selected
day,attend_school_998,995,Missing Response
day,attend_school_999,0,Not selected
day,attend_school_999,1,Selected
day,attend_school_999,995,Missing Response
day,attend_school_no_1,0,Not selected
day,attend_school_no_1,1,Selected
day,attend_school_no_1,995,Missing Response
day,attend_school_no_2,0,Not selected
day,attend_school_no_2,1,Selected
day,attend_school_no_2,995,Missing Response
day,attend_school_no_3,0,Not selected
day,attend_school_no_3,1,Selected
day,attend_school_no_3,995,Missing Response
day,attend_school_no_4,0,Not selected
day,attend_school_no_4,1,Selected
day,attend_school_no_4,995,Missing Response
day,attend_school_no_5,0,Not selected
day,attend_school_no_5,1,Selected
day,attend_school_no_5,995,Missing Response
day,attend_school_no_997,0,Not selected
day,attend_school_no_997,1,Selected
day,attend_school_no_997,995,Missing Response
day,attend_school_no_998,0,Not selected
day,attend_school_no_998,1,Selected
day,attend_school_no_998,995,Missing Response
day,attend_school_no_999,0,Not selected
day,attend_school_no_999,1,Selected
day,attend_school_no_999,995,Missing Response
trip,trip_survey_complete,0,No
trip,trip_survey_complete,1,Yes
trip,trip_survey_complete,995,Missing response
trip,day_is_complete,0,No
trip,day_is_complete,1,Yes
trip,depart_dow,1,Monday
trip,depart_dow,2,Tuesday
trip,depart_dow,3,Wednesday
trip,depart_dow,4,Thursday
trip,depart_dow,5,Friday
trip,depart_dow,6,Saturday
trip,depart_dow,7,Sunday
trip,arrive_dow,1,Monday
trip,arrive_dow,2,Tuesday
trip,arrive_dow,3,Wednesday
trip,arrive_dow,4,Thursday
trip,arrive_dow,5,Friday
trip,arrive_dow,6,Saturday
trip,arrive_dow,7,Sunday
trip,speed_flag,0,No
trip,speed_flag,1,Yes
trip,speed_flag,995,Missing response
trip,o_in_region,0,No
trip,o_in_region,1,Yes
trip,o_state,04,Arizona
trip,o_state,08,Colorado
trip,o_state,16,Idaho
trip,o_state,32,Nevada
trip,o_state,49,Utah
trip,o_state,56,Wyoming
trip,o_state,995,Missing response
trip,o_county,995,Missing response
trip,o_county,04003,"Cochise County, AZ"
trip,o_county,04005,"Coconino County, AZ"
trip,o_county,04013,"Maricopa County, AZ"
trip,o_county,04015,"Mohave County, AZ"
trip,o_county,04017,"Navajo County, AZ"
trip,o_county,04019,"Pima County, AZ"
trip,o_county,04021,"Pinal County, AZ"
trip,o_county,04025,"Yavapai County, AZ"
trip,o_county,04027,"Yuma County, AZ"
trip,o_county,08001,"Adams County, CO"
trip,o_county,08003,"Alamosa County, CO"
trip,o_county,08005,"Arapahoe County, CO"
trip,o_county,08013,"Boulder County, CO"
trip,o_county,08014,"Broomfield County, CO"
trip,o_county,08015,"Chaffee County, CO"
trip,o_county,08019,"Clear Creek County, CO"
trip,o_county,08029,"Delta County, CO"
trip,o_county,08031,"Denver County, CO"
trip,o_county,08035,"Douglas County, CO"
trip,o_county,08037,"Eagle County, CO"
trip,o_county,08041,"El Paso County, CO"
trip,o_county,08045,"Garfield County, CO"
trip,o_county,08049,"Grand County, CO"
trip,o_county,08051,"Gunnison County, CO"
trip,o_county,08059,"Jefferson County, CO"
trip,o_county,08063,"Kit Carson County, CO"
trip,o_county,08067,"La Plata County, CO"
trip,o_county,08069,"Larimer County, CO"
trip,o_county,08077,"Mesa County, CO"
trip,o_county,08081,"Moffat County, CO"
trip,o_county,08083,"Montezuma County, CO"
trip,o_county,08085,"Montrose County, CO"
trip,o_county,08097,"Morgan County, CO"
trip,o_county,08107,"Routt County, CO"
trip,o_county,08113,"San Miguel County, CO"
trip,o_county,08123,"Weld County, CO"
trip,o_county,16001,"Ada County, ID"
trip,o_county,16003,"Adams County, ID"
trip,o_county,16005,"Bannock County, ID"
trip,o_county,16007,"Bear Lake County, ID"
trip,o_county,16011,"Bingham County, ID"
trip,o_county,16013,"Blaine County, ID"
trip,o_county,16017,"Bonner County, ID"
trip,o_county,16019,"Bonneville County, ID"
trip,o_county,16023,"Butte County, ID"
trip,o_county,16027,"Canyon County, ID"
trip,o_county,16029,"Caribou County, ID"
trip,o_county,16031,"Cassia County, ID"
trip,o_county,16033,"Clark County, ID"
trip,o_county,16037,"Custer County, ID"
trip,o_county,16039,"Elmore County, ID"
trip,o_county,16041,"Franklin County, ID"
trip,o_county,16043,"Fremont County, ID"
trip,o_county,16045,"Gem County, ID"
trip,o_county,16047,"Gooding County, ID"
trip,o_county,16051,"Jefferson County, ID"
trip,o_county,16053,"Jerome County, ID"
trip,o_county,16055,"Kootenai County, ID"
trip,o_county,16065,"Madison County, ID"
trip,o_county,16067,"Minidoka County, ID"
trip,o_county,16071,"Oneida County, ID"
trip,o_county,16075,"Payette County, ID"
trip,o_county,16077,"Power County, ID"
trip,o_county,16083,"Twin Falls County, ID"
trip,o_county,32001,"Churchill County, NV"
trip,o_county,32003,"Clark County, NV"
trip,o_county,32007,"Elko County, NV"
trip,o_county,32013,"Humboldt County, NV"
trip,o_county,32015,"Lander County, NV"
trip,o_county,32017,"Lincoln County, NV"
trip,o_county,32023,"Nye County, NV"
trip,o_county,32027,"Pershing County, NV"
trip,o_county,32031,"Washoe County, NV"
trip,o_county,32033,"White Pine County, NV"
trip,o_county,49001,Beaver County
trip,o_county,49003,Box Elder County
trip,o_county,49005,Cache County
trip,o_county,49007,Carbon County
trip,o_county,49009,Daggett County
trip,o_county,49011,Davis County
trip,o_county,49013,Duchesne County
trip,o_county,49015,Emery County
trip,o_county,49017,Garfield County
trip,o_county,49019,Grand County
trip,o_county,49021,Iron County
trip,o_county,49023,Juab County
trip,o_county,49025,Kane County
trip,o_county,49027,Millard County
trip,o_county,49029,Morgan County
trip,o_county,49031,Piute County
trip,o_county,49033,Rich County
trip,o_county,49035,Salt Lake County
trip,o_county,49037,San Juan County
trip,o_county,49039,Sanpete County
trip,o_county,49041,Sevier County
trip,o_county,49043,Summit County
trip,o_county,49045,Tooele County
trip,o_county,49047,Uintah County
trip,o_county,49049,Utah County
trip,o_county,49051,Wasatch County
trip,o_county,49053,Washington County
trip,o_county,49055,Wayne County
trip,o_county,49057,Weber County
trip,o_county,56001,"Albany County, WY"
trip,o_county,56007,"Carbon County, NV"
trip,o_county,56021,"Laramie County, WY"
trip,o_county,56023,"Lincoln County, WY"
trip,o_county,56025,"Natrona County, WY"
trip,o_county,56035,"Sublette County, WY"
trip,o_county,56037,"Sweetwater County, WY"
trip,o_county,56039,"Teton County, WY"
trip,o_county,56041,"Uinta County, WY"
trip,o_county,56045,"Weston County, WY"
trip,d_in_region,0,No
trip,d_in_region,1,Yes
trip,d_state,04,Arizona
trip,d_state,08,Colorado
trip,d_state,16,Idaho
trip,d_state,32,Nevada
trip,d_state,49,Utah
trip,d_state,56,Wyoming
trip,d_state,995,Missing response
trip,d_county,995,Missing response
trip,d_county,04003,"Cochise County, AZ"
trip,d_county,04005,"Coconino County, AZ"
trip,d_county,04013,"Maricopa County, AZ"
trip,d_county,04015,"Mohave County, AZ"
trip,d_county,04017,"Navajo County, AZ"
trip,d_county,04019,"Pima County, AZ"
trip,d_county,04021,"Pinal County, AZ"
trip,d_county,04025,"Yavapai County, AZ"
trip,d_county,04027,"Yuma County, AZ"
trip,d_county,08001,"Adams County, CO"
trip,d_county,08003,"Alamosa County, CO"
trip,d_county,08005,"Arapahoe County, CO"
trip,d_county,08013,"Boulder County, CO"
trip,d_county,08014,"Broomfield County, CO"
trip,d_county,08015,"Chaffee County, CO"
trip,d_county,08019,"Clear Creek County, CO"
trip,d_county,08029,"Delta County, CO"
trip,d_county,08031,"Denver County, CO"
trip,d_county,08035,"Douglas County, CO"
trip,d_county,08037,"Eagle County, CO"
trip,d_county,08041,"El Paso County, CO"
trip,d_county,08045,"Garfield County, CO"
trip,d_county,08049,"Grand County, CO"
trip,d_county,08051,"Gunnison County, CO"
trip,d_county,08059,"Jefferson County, CO"
trip,d_county,08063,"Kit Carson County, CO"
trip,d_county,08065,"Lake County, CO"
trip,d_county,08067,"La Plata County, CO"
trip,d_county,08069,"Larimer County, CO"
trip,d_county,08077,"Mesa County, CO"
trip,d_county,08081,"Moffat County, CO"
trip,d_county,08083,"Montezuma County, CO"
trip,d_county,08085,"Montrose County, CO"
trip,d_county,08097,"Morgan County, CO"
trip,d_county,08107,"Routt County, CO"
trip,d_county,08113,"San Miguel County, CO"
trip,d_county,08123,"Weld County, CO"
trip,d_county,16001,"Ada County, ID"
trip,d_county,16003,"Adams County, ID"
trip,d_county,16005,"Bannock County, ID"
trip,d_county,16007,"Bear Lake County, ID"
trip,d_county,16011,"Bingham County, ID"
trip,d_county,16013,"Blaine County, ID"
trip,d_county,16017,"Bonner County, ID"
trip,d_county,16019,"Bonneville County, ID"
trip,d_county,16023,"Butte County, ID"
trip,d_county,16027,"Canyon County, ID"
trip,d_county,16029,"Caribou County, ID"
trip,d_county,16031,"Cassia County, ID"
trip,d_county,16033,"Clark County, ID"
trip,d_county,16037,"Custer County, ID"
