table,variable,value,label
trip,d_county,16039,"Elmore County, ID"
trip,d_county,16041,"Franklin County, ID"
trip,d_county,16043,"Fremont County, ID"
trip,d_county,16045,"Gem County, ID"
trip,d_county,16047,"Gooding County, ID"
trip,d_county,16051,"Jefferson County, ID"
trip,d_county,16053,"Jerome County, ID"
trip,d_county,16055,"Kootenai County, ID"
trip,d_county,16065,"Madison County, ID"
trip,d_county,16067,"Minidoka County, ID"
trip,d_county,16071,"Oneida County, ID"
trip,d_county,16075,"Payette County, ID"
trip,d_county,16077,"Power County, ID"
trip,d_county,16083,"Twin Falls County, ID"
trip,d_county,32001,"Churchill County, NV"
trip,d_county,32003,"Clark County, NV"
trip,d_county,32007,"Elko County, NV"
trip,d_county,32013,"Humboldt County, NV"
trip,d_county,32015,"Lander County, NV"
trip,d_county,32017,"Lincoln County, NV"
trip,d_county,32023,"Nye County, NV"
trip,d_county,32027,"Pershing County, NV"
trip,d_county,32031,"Washoe County, NV"
trip,d_county,32033,"White Pine County, NV"
trip,d_county,49001,Beaver County
trip,d_county,49003,Box Elder County
trip,d_county,49005,Cache County
trip,d_county,49007,Carbon County
trip,d_county,49009,Daggett County
trip,d_county,49011,Davis County
trip,d_county,49013,Duchesne County
trip,d_county,49015,Emery County
trip,d_county,49017,Garfield County
trip,d_county,49019,Grand County
trip,d_county,49021,Iron County
trip,d_county,49023,Juab County
trip,d_county,49025,Kane County
trip,d_county,49027,Millard County
trip,d_county,49029,Morgan County
trip,d_county,49031,Piute County
trip,d_county,49033,Rich County
trip,d_county,49035,Salt Lake County
trip,d_county,49037,San Juan County
trip,d_county,49039,Sanpete County
trip,d_county,49041,Sevier County
trip,d_county,49043,Summit County
trip,d_county,49045,Tooele County
trip,d_county,49047,Uintah County
trip,d_county,49049,Utah County
trip,d_county,49051,Wasatch County
trip,d_county,49053,Washington County
trip,d_county,49055,Wayne County
trip,d_county,49057,Weber County
trip,d_county,56001,"Albany County, WY"
trip,d_county,56007,"Carbon County, NV"
trip,d_county,56021,"Laramie County, WY"
trip,d_county,56023,"Lincoln County, WY"
trip,d_county,56025,"Natrona County, WY"
trip,d_county,56035,"Sublette County, WY"
trip,d_county,56037,"Sweetwater County, WY"
trip,d_county,56039,"Teton County, WY"
trip,d_county,56041,"Uinta County, WY"
trip,d_county,56045,"Weston County, WY"
trip,mode_1,1,Walk (or jog/wheelchair)
trip,mode_1,2,Standard bicycle (my household's)
trip,mode_1,3,"Borrowed bicycle (e.g., a friend's)"
trip,mode_1,4,Other rented bicycle
trip,mode_1,5,Other - please specify
trip,mode_1,6,Household vehicle 1
trip,mode_1,7,Household vehicle 2
trip,mode_1,8,Household vehicle 3
trip,mode_1,9,Household vehicle 4
trip,mode_1,10,Household vehicle 5
trip,mode_1,11,Household vehicle 6
trip,mode_1,12,Household vehicle 7
trip,mode_1,13,Household vehicle 8
trip,mode_1,16,Other vehicle in household
trip,mode_1,17,Rental car
trip,mode_1,18,"Carshare service (e.g., Zipcar)"
trip,mode_1,21,Vanpool
trip,mode_1,22,Other vehicle (not my household's)
trip,mode_1,23,Local bus
trip,mode_1,24,School bus
trip,mode_1,25,"Intercity bus (e.g., Greyhound)"
trip,mode_1,26,"Other private shuttle/bus (e.g., a hotel's, an airport's)"
trip,mode_1,27,Paratransit/Dial-A-Ride
trip,mode_1,28,Other bus
trip,mode_1,31,Airplane/helicopter
trip,mode_1,33,Car from work
trip,mode_1,34,Friend/relative/colleague's car
trip,mode_1,36,"Regular taxi (e.g., Yellow Cab)"
trip,mode_1,38,University/college shuttle/bus
trip,mode_1,39,Light rail
trip,mode_1,42,Other rail
trip,mode_1,43,Skateboard or rollerblade
trip,mode_1,45,ATV
trip,mode_1,47,Other motorcycle in household
trip,mode_1,49,"Uber, Lyft, or other smartphone-app ride service"
trip,mode_1,54,Other motorcycle (not my household's)
trip,mode_1,55,Express/commuter bus
trip,mode_1,58,Commuter rail
trip,mode_1,59,"Peer-to-peer car rental (e.g., Turo)"
trip,mode_1,60,"Other hired car service (e.g., black car, limo)"
trip,mode_1,61,Rapid transit bus (BRT)
trip,mode_1,62,Employer-provided shuttle/bus
trip,mode_1,69,Bike-share - standard bicycle
trip,mode_1,70,Bike-share - electric bicycle
trip,mode_1,73,"Moped-share (e.g., Scoot)"
trip,mode_1,74,Segway
trip,mode_1,75,Other micromobility device
trip,mode_1,76,"Carpool match (e.g., Waze Carpool)"
trip,mode_1,77,Personal regular scooter or moped (not shared)
trip,mode_1,81,Snowmobile
trip,mode_1,82,Electric bicycle (my household's)
trip,mode_1,83,"Electric scooter-share (e.g., Bird, Lime)"
trip,mode_1,100,Household vehicle (or motorcycle)
trip,mode_1,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
trip,mode_1,102,"Bus, shuttle, or vanpool"
trip,mode_1,103,Bicycle or e-bicycle
trip,mode_1,104,Other
trip,mode_1,105,"Rail (e.g., train, subway)"
trip,mode_1,106,"Uber/Lyft, taxi, or car service"
trip,mode_1,107,"Micromobility (e.g., scooter, moped, skateboard)"
trip,mode_1,300,Personal electric scooter or moped (not shared)
trip,mode_1,995,Missing Response
trip,mode_2,1,Walk (or jog/wheelchair)
trip,mode_2,2,Standard bicycle (my household's)
trip,mode_2,3,"Borrowed bicycle (e.g., a friend's)"
trip,mode_2,4,Other rented bicycle
trip,mode_2,5,Other - please specify
trip,mode_2,6,Household vehicle 1
trip,mode_2,7,Household vehicle 2
trip,mode_2,8,Household vehicle 3
trip,mode_2,9,Household vehicle 4
trip,mode_2,10,Household vehicle 5
trip,mode_2,11,Household vehicle 6
trip,mode_2,12,Household vehicle 7
trip,mode_2,13,Household vehicle 8
trip,mode_2,16,Other vehicle in household
trip,mode_2,17,Rental car
trip,mode_2,18,"Carshare service (e.g., Zipcar)"
trip,mode_2,21,Vanpool
trip,mode_2,22,Other vehicle (not my household's)
trip,mode_2,23,Local bus
trip,mode_2,24,School bus
trip,mode_2,25,"Intercity bus (e.g., Greyhound)"
trip,mode_2,26,"Other private shuttle/bus (e.g., a hotel's, an airport's)"
trip,mode_2,27,Paratransit/Dial-A-Ride
trip,mode_2,28,Other bus
trip,mode_2,31,Airplane/helicopter
trip,mode_2,33,Car from work
trip,mode_2,34,Friend/relative/colleague's car
trip,mode_2,36,"Regular taxi (e.g., Yellow Cab)"
trip,mode_2,38,University/college shuttle/bus
trip,mode_2,39,Light rail
trip,mode_2,42,Other rail
trip,mode_2,43,Skateboard or rollerblade
trip,mode_2,45,ATV
trip,mode_2,47,Other motorcycle in household
trip,mode_2,49,"Uber, Lyft, or other smartphone-app ride service"
trip,mode_2,54,Other motorcycle (not my household's)
trip,mode_2,55,Express/commuter bus
trip,mode_2,58,Commuter rail
trip,mode_2,59,"Peer-to-peer car rental (e.g., Turo)"
trip,mode_2,60,"Other hired car service (e.g., black car, limo)"
trip,mode_2,61,Rapid transit bus (BRT)
trip,mode_2,62,Employer-provided shuttle/bus
trip,mode_2,69,Bike-share - standard bicycle
trip,mode_2,70,Bike-share - electric bicycle
trip,mode_2,73,"Moped-share (e.g., Scoot)"
trip,mode_2,74,Segway
trip,mode_2,75,Other micromobility device
trip,mode_2,76,"Carpool match (e.g., Waze Carpool)"
trip,mode_2,77,Personal regular scooter or moped (not shared)
trip,mode_2,81,Snowmobile
trip,mode_2,82,Electric bicycle (my household's)
trip,mode_2,83,"Electric scooter-share (e.g., Bird, Lime)"
trip,mode_2,100,Household vehicle (or motorcycle)
trip,mode_2,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
trip,mode_2,102,"Bus, shuttle, or vanpool"
trip,mode_2,103,Bicycle or e-bicycle
trip,mode_2,104,Other
trip,mode_2,105,"Rail (e.g., train, subway)"
trip,mode_2,106,"Uber/Lyft, taxi, or car service"
trip,mode_2,107,"Micromobility (e.g., scooter, moped, skateboard)"
trip,mode_2,300,Personal electric scooter or moped (not shared)
trip,mode_2,995,Missing Response
trip,mode_3,1,Walk (or jog/wheelchair)
trip,mode_3,2,Standard bicycle (my household's)
trip,mode_3,3,"Borrowed bicycle (e.g., a friend's)"
trip,mode_3,4,Other rented bicycle
trip,mode_3,5,Other - please specify
trip,mode_3,6,Household vehicle 1
trip,mode_3,7,Household vehicle 2
trip,mode_3,8,Household vehicle 3
trip,mode_3,9,Household vehicle 4
trip,mode_3,10,Household vehicle 5
trip,mode_3,11,Household vehicle 6
trip,mode_3,12,Household vehicle 7
trip,mode_3,13,Household vehicle 8
trip,mode_3,16,Other vehicle in household
trip,mode_3,17,Rental car
trip,mode_3,18,"Carshare service (e.g., Zipcar)"
trip,mode_3,21,Vanpool
trip,mode_3,22,Other vehicle (not my household's)
trip,mode_3,23,Local bus
trip,mode_3,24,School bus
trip,mode_3,25,"Intercity bus (e.g., Greyhound)"
trip,mode_3,26,"Other private shuttle/bus (e.g., a hotel's, an airport's)"
trip,mode_3,27,Paratransit/Dial-A-Ride
trip,mode_3,28,Other bus
trip,mode_3,31,Airplane/helicopter
trip,mode_3,33,Car from work
trip,mode_3,34,Friend/relative/colleague's car
trip,mode_3,36,"Regular taxi (e.g., Yellow Cab)"
trip,mode_3,38,University/college shuttle/bus
trip,mode_3,39,Light rail
trip,mode_3,42,Other rail
trip,mode_3,43,Skateboard or rollerblade
trip,mode_3,45,ATV
trip,mode_3,47,Other motorcycle in household
trip,mode_3,49,"Uber, Lyft, or other smartphone-app ride service"
trip,mode_3,54,Other motorcycle (not my household's)
trip,mode_3,55,Express/commuter bus
trip,mode_3,58,Commuter rail
trip,mode_3,59,"Peer-to-peer car rental (e.g., Turo)"
trip,mode_3,60,"Other hired car service (e.g., black car, limo)"
trip,mode_3,61,Rapid transit bus (BRT)
trip,mode_3,62,Employer-provided shuttle/bus
trip,mode_3,69,Bike-share - standard bicycle
trip,mode_3,70,Bike-share - electric bicycle
trip,mode_3,73,"Moped-share (e.g., Scoot)"
trip,mode_3,74,Segway
trip,mode_3,75,Other micromobility device
trip,mode_3,76,"Carpool match (e.g., Waze Carpool)"
trip,mode_3,77,Personal regular scooter or moped (not shared)
trip,mode_3,81,Snowmobile
trip,mode_3,82,Electric bicycle (my household's)
trip,mode_3,83,"Electric scooter-share (e.g., Bird, Lime)"
trip,mode_3,100,Household vehicle (or motorcycle)
trip,mode_3,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
trip,mode_3,102,"Bus, shuttle, or vanpool"
trip,mode_3,103,Bicycle or e-bicycle
trip,mode_3,104,Other
trip,mode_3,105,"Rail (e.g., train, subway)"
trip,mode_3,106,"Uber/Lyft, taxi, or car service"
trip,mode_3,107,"Micromobility (e.g., scooter, moped, skateboard)"
trip,mode_3,300,Personal electric scooter or moped (not shared)
trip,mode_3,995,Missing Response
trip,mode_4,1,Walk (or jog/wheelchair)
trip,mode_4,2,Standard bicycle (my household's)
trip,mode_4,3,"Borrowed bicycle (e.g., a friend's)"
trip,mode_4,4,Other rented bicycle
trip,mode_4,5,Other - please specify
trip,mode_4,6,Household vehicle 1
trip,mode_4,7,Household vehicle 2
trip,mode_4,8,Household vehicle 3
trip,mode_4,9,Household vehicle 4
trip,mode_4,10,Household vehicle 5
trip,mode_4,11,Household vehicle 6
trip,mode_4,12,Household vehicle 7
trip,mode_4,13,Household vehicle 8
trip,mode_4,16,Other vehicle in household
trip,mode_4,17,Rental car
trip,mode_4,18,"Carshare service (e.g., Zipcar)"
trip,mode_4,21,Vanpool
trip,mode_4,22,Other vehicle (not my household's)
trip,mode_4,23,Local bus
trip,mode_4,24,School bus
trip,mode_4,25,"Intercity bus (e.g., Greyhound)"
trip,mode_4,26,"Other private shuttle/bus (e.g., a hotel's, an airport's)"
trip,mode_4,27,Paratransit/Dial-A-Ride
trip,mode_4,28,Other bus
trip,mode_4,31,Airplane/helicopter
trip,mode_4,33,Car from work
trip,mode_4,34,Friend/relative/colleague's car
trip,mode_4,36,"Regular taxi (e.g., Yellow Cab)"
trip,mode_4,38,University/college shuttle/bus
trip,mode_4,39,Light rail
trip,mode_4,42,Other rail
trip,mode_4,43,Skateboard or rollerblade
trip,mode_4,45,ATV
trip,mode_4,47,Other motorcycle in household
trip,mode_4,49,"Uber, Lyft, or other smartphone-app ride service"
trip,mode_4,54,Other motorcycle (not my household's)
trip,mode_4,55,Express/commuter bus
trip,mode_4,58,Commuter rail
trip,mode_4,59,"Peer-to-peer car rental (e.g., Turo)"
trip,mode_4,60,"Other hired car service (e.g., black car, limo)"
trip,mode_4,61,Rapid transit bus (BRT)
trip,mode_4,62,Employer-provided shuttle/bus
trip,mode_4,69,Bike-share - standard bicycle
trip,mode_4,70,Bike-share - electric bicycle
trip,mode_4,73,"Moped-share (e.g., Scoot)"
trip,mode_4,74,Segway
trip,mode_4,75,Other micromobility device
trip,mode_4,76,"Carpool match (e.g., Waze Carpool)"
trip,mode_4,77,Personal regular scooter or moped (not shared)
trip,mode_4,81,Snowmobile
trip,mode_4,82,Electric bicycle (my household's)
trip,mode_4,83,"Electric scooter-share (e.g., Bird, Lime)"
trip,mode_4,100,Household vehicle (or motorcycle)
trip,mode_4,101,"Other vehicle (e.g., friend's car, rental, carshare, work car)"
trip,mode_4,102,"Bus, shuttle, or vanpool"
trip,mode_4,103,Bicycle or e-bicycle
trip,mode_4,104,Other
trip,mode_4,105,"Rail (e.g., train, subway)"
trip,mode_4,106,"Uber/Lyft, taxi, or car service"
trip,mode_4,107,"Micromobility (e.g., scooter, moped, skateboard)"
trip,mode_4,300,Personal electric scooter or moped (not shared)
trip,mode_4,995,Missing Response
trip,mode_type_broad,1,Walk
trip,mode_type_broad,2,Bike
trip,mode_type_broad,3,Car
trip,mode_type_broad,4,Transit
trip,mode_type_broad,5,Other
trip,mode_type_broad,995,Missing response
trip,mode_type,1,Walk
trip,mode_type,2,Bike
trip,mode_type,3,Bike-share
trip,mode_type,4,Scooter-share
trip,mode_type,5,Taxi
trip,mode_type,6,TNC
trip,mode_type,7,Other
trip,mode_type,8,Car
trip,mode_type,9,Car-share
trip,mode_type,10,School bus
trip,mode_type,11,Shuttle/vanpool
trip,mode_type,13,Transit
trip,mode_type,14,Long distance passenger
trip,mode_type,995,Missing Response
trip,transit_access,1,Walked (or jogged/wheelchair)
trip,transit_access,2,Bicycle
trip,transit_access,3,Transferred from another bus
trip,transit_access,4,"Micromobility (e.g., scooter, moped, skateboard)"
trip,transit_access,5,"Transferred from other transit (e.g., rail)"
trip,transit_access,6,"Uber/Lyft, taxi, or car service"
trip,transit_access,7,Drove and parked my own household's vehicle (or motorcycle)
trip,transit_access,8,Drove and parked another vehicle (or motorcycle)
trip,transit_access,9,Got dropped off in my own household's vehicle (or motorcycle)
trip,transit_access,10,Got dropped off in another vehicle (or motorcycle)
trip,transit_access,995,Missing Response
trip,transit_access,997,Other
trip,transit_egress,1,Walked (or jogged/wheelchair)
trip,transit_egress,2,Bicycle
trip,transit_egress,3,Transferred to another bus
trip,transit_egress,4,"Micromobility (e.g., scooter, moped, skateboard)"
trip,transit_egress,5,"Transferred to other transit (e.g., rail)"
trip,transit_egress,6,"Uber/Lyft, taxi, or car service"
trip,transit_egress,7,Drove my own household's vehicle (or motorcycle)
trip,transit_egress,8,Drove another vehicle (or motorcycle)
trip,transit_egress,9,Got picked up in my own household's vehicle (or motorcycle)
trip,transit_egress,10,Got picked up in another vehicle (or motorcycle)
trip,transit_egress,995,Missing Response
trip,transit_egress,997,Other
trip,park_location,1,Home driveway/garage (yours or someone else's)
trip,park_location,3,Parking lot/ramp/garage
trip,park_location,4,On-street parking
trip,park_location,5,Park & Ride lot
trip,park_location,6,"Didn't park (waited, drop-off, drive-thru, gas)"
trip,park_location,7,Other
trip,park_location,8,Paid on-street parking
trip,park_location,9,Paid/pass parking lot/garage
trip,park_location,995,Missing Response
trip,park_type,1,Used an employer-provided parking pass
trip,park_type,2,Used a parking pass (any type)
trip,park_type,3,"Paid via cash, credit card, or ticket(s)"
trip,park_type,4,"Parking reservation service (e.g., SpotHero, ParkMobile)"
trip,park_type,6,Other
trip,park_type,995,Missing Response
trip,park_pay,1,Knows amount paid
trip,park_pay,2,Don't know
trip,park_pay,995,Missing Response
trip,ev_charge_station,1,No
trip,ev_charge_station,2,"Yes, and I did NOT charge the vehicle here before my next trip"
trip,ev_charge_station,3,"Yes, and I charged the vehicle here before my next trip"
trip,ev_charge_station,995,Missing Response
trip,ev_charge_station,998,Don't know
trip,ev_charge_station_level_1,0,Not selected
trip,ev_charge_station_level_1,1,Selected
trip,ev_charge_station_level_1,995,Missing Response
trip,ev_charge_station_level_2,0,Not selected
trip,ev_charge_station_level_2,1,Selected
trip,ev_charge_station_level_2,995,Missing Response
trip,ev_charge_station_level_3,0,Not selected
trip,ev_charge_station_level_3,1,Selected
trip,ev_charge_station_level_3,995,Missing Response
trip,ev_charge_station_level_998,0,Not selected
trip,ev_charge_station_level_998,1,Selected
trip,ev_charge_station_level_998,995,Missing Response
trip,ev_charge_station_decision,1,Agree
trip,ev_charge_station_decision,2,Neutral
trip,ev_charge_station_decision,3,Disagree
trip,ev_charge_station_decision,995,Missing Response
trip,tnc_type,1,"Pooled (e.g., UberPool, Lyft Shared)"
trip,tnc_type,2,"Regular (e.g., UberX, UberXL, Lyft, LyftXL)"
trip,tnc_type,3,"Premium (e.g., UberBlack, Lyft Lux)"
trip,tnc_type,995,Missing Response
trip,tnc_type,998,Don't know
trip,taxi_type,1,I paid the fare myself (no reimbursement)
trip,taxi_type,2,Employer paid (I am reimbursed)
trip,taxi_type,3,Split/shared fare with other(s)
trip,taxi_type,4,Someone else paid 100% (all of fare)
trip,taxi_type,5,Other - please specify
trip,taxi_type,995,Missing Response
trip,taxi_pay,1,Knows amount paid
trip,taxi_pay,2,Don't know
trip,taxi_pay,995,Missing Response
trip,transit_type,1,Free (no cost at all)
trip,transit_type,2,Used transit pass (any type)
trip,transit_type,3,"Cash, credit card"
trip,transit_type,4,Don't know
trip,transit_type,6,Used a transfer from a previous transit trip
trip,transit_type,7,Transit app
trip,transit_type,8,Onsite transit ticket
trip,transit_type,9,Prepaid ticket
trip,transit_type,995,Missing Response
trip,num_travelers,0,0 travelers
trip,num_travelers,1,1 traveler
trip,num_travelers,2,2 travelers
trip,num_travelers,3,3 travelers
trip,num_travelers,4,4 travelers
trip,num_travelers,5,5 or more travelers
trip,num_travelers,995,Missing Response
trip,num_hh_travelers,1,1 traveler
trip,num_hh_travelers,2,2 travelers
trip,num_hh_travelers,3,3 travelers
trip,num_hh_travelers,4,4 travelers
trip,num_hh_travelers,5,5 travelers
trip,num_hh_travelers,6,6 travelers
trip,num_hh_travelers,7,7 travelers
trip,num_hh_travelers,8,8 travelers
trip,num_hh_travelers,9,9 travelers
trip,num_hh_travelers,10,10 travelers
trip,num_hh_travelers,11,11 travelers
trip,num_non_hh_travelers,0,0 travelers
trip,num_non_hh_travelers,1,1 traveler
trip,num_non_hh_travelers,2,2 travelers
trip,num_non_hh_travelers,3,3 travelers
trip,num_non_hh_travelers,4,4 travelers
trip,num_non_hh_travelers,5,5 or more travelers
trip,num_non_hh_travelers,995,Missing Response
trip,hh_member_1,0,Not present
trip,hh_member_1,1,Present
trip,hh_member_1,995,Missing Response
trip,hh_member_2,0,Not present
trip,hh_member_2,1,Present
trip,hh_member_2,995,Missing Response
trip,hh_member_3,0,Not present
trip,hh_member_3,1,Present
trip,hh_member_3,995,Missing Response
trip,hh_member_4,0,Not present
trip,hh_member_4,1,Present
trip,hh_member_4,995,Missing Response
trip,hh_member_5,0,Not present
trip,hh_member_5,1,Present
trip,hh_member_5,995,Missing Response
trip,hh_member_6,0,Not present
trip,hh_member_6,1,Present
trip,hh_member_6,995,Missing Response
trip,hh_member_7,0,Not present
trip,hh_member_7,1,Present
trip,hh_member_7,995,Missing Response
trip,hh_member_8,0,Not present
trip,hh_member_8,1,Present
trip,hh_member_8,995,Missing Response
trip,hh_member_9,0,Not present
trip,hh_member_9,1,Present
trip,hh_member_9,995,Missing Response
trip,hh_member_10,0,Not present
trip,hh_member_10,1,Present
trip,hh_member_10,995,Missing Response
trip,hh_member_11,0,Not present
trip,hh_member_11,1,Present
trip,hh_member_11,995,Missing Response
trip,hh_member_12,0,Not present
trip,hh_member_12,1,Present
trip,hh_member_12,995,Missing Response
trip,driver,1,Driver
trip,driver,2,Passenger
trip,driver,3,Both (switched drivers during trip)
trip,driver,995,Missing Response
trip,trip_type,1,Home-based work
trip,trip_type,2,Home-based school
trip,trip_type,3,Home-based shopping
trip,trip_type,4,Home-based personal business
trip,trip_type,5,Home-based other
trip,trip_type,6,Non-home-based work
trip,trip_type,7,Non-home-based non-work
trip,trip_type,995,Missing response
trip,o_purpose_type,1,Home
trip,o_purpose_type,2,Work
trip,o_purpose_type,3,School
trip,o_purpose_type,4,Shop
trip,o_purpose_type,5,Personal business (errand)
trip,o_purpose_type,6,Other
trip,o_purpose_type,995,Missing Response
trip,o_purpose_category,-1,Not imputable
trip,o_purpose_category,1,Home
trip,o_purpose_category,2,Work
trip,o_purpose_category,3,Work related
trip,o_purpose_category,4,School
trip,o_purpose_category,5,School related
trip,o_purpose_category,6,Escort
trip,o_purpose_category,7,Shop
trip,o_purpose_category,8,Meal
trip,o_purpose_category,9,Social recreation
trip,o_purpose_category,10,Errand
trip,o_purpose_category,11,Change mode
trip,o_purpose_category,12,Overnight
trip,o_purpose_category,13,Other
trip,o_purpose_category,995,Missing Response
trip,o_purpose,-1,Not imputable
trip,o_purpose,1,Went home
trip,o_purpose,2,"Went to work, work-related, volunteer-related"
trip,o_purpose,3,Attended school/class
trip,o_purpose,4,"Appointment, shopping, or errands (e.g., gas)"
trip,o_purpose,5,"Dropped off, picked up, or accompanied another person"
trip,o_purpose,7,"Social, leisure, religious, entertainment activity"
trip,o_purpose,10,Went to primary workplace
trip,o_purpose,11,"Went to work-related activity (e.g., meeting, delivery, worksite)"
trip,o_purpose,13,Volunteering
trip,o_purpose,14,Other work-related
trip,o_purpose,21,Attend K-12 school
trip,o_purpose,22,Attend college/university
trip,o_purpose,23,"Attend other type of class (e.g., cooking class)"
trip,o_purpose,24,"Attend other education-related activity (e.g., field trip)"
trip,o_purpose,25,Attend vocational education class
trip,o_purpose,26,Attend daycare or preschool
trip,o_purpose,30,Grocery shopping
trip,o_purpose,31,Got gas
trip,o_purpose,32,"Other routine shopping (e.g., pharmacy)"
trip,o_purpose,33,"Errand without appointment (e.g., post office)"
trip,o_purpose,34,"Medical visit (e.g., doctor, dentist)"
trip,o_purpose,36,"Shopping for major item (e.g., furniture, car)"
trip,o_purpose,37,"Errand with appointment (e.g., haircut)"
trip,o_purpose,44,"Other activity only (e.g., attend meeting, pick-up or drop-off item)"
trip,o_purpose,45,Pick someone up
trip,o_purpose,46,Drop someone off
trip,o_purpose,47,"Accompany someone only (e.g., go along for the ride)"
trip,o_purpose,48,BOTH pick up AND drop off
trip,o_purpose,50,"Dined out, got coffee or take-out"
trip,o_purpose,51,"Exercise or recreation (e.g., gym, jog, bike, walk dog)"
trip,o_purpose,52,"Social activity (e.g., visit friends/relatives)"
trip,o_purpose,53,"Leisure/entertainment / cultural (e.g., cinema, museum, park)"
trip,o_purpose,54,Religious/civic/volunteer activity
trip,o_purpose,56,"Family activity (e.g., watch child's game)"
trip,o_purpose,60,"Changed or transferred mode (e.g., waited for bus or exited bus)"
trip,o_purpose,61,Other errand
trip,o_purpose,62,Other social/recreational trip
trip,o_purpose,99,Other reason
trip,o_purpose,150,"Went to another residence (e.g., someone else's home, second home)"
trip,o_purpose,152,"Went to temporary lodging (e.g., hotel, vacation rental)"
trip,o_purpose,995,Missing Response
trip,d_purpose_type,1,Home
trip,d_purpose_type,2,Work
trip,d_purpose_type,3,School
trip,d_purpose_type,4,Shop
trip,d_purpose_type,5,Personal business (errand)
trip,d_purpose_type,6,Other
trip,d_purpose_type,995,Missing Response
trip,d_purpose_category,-1,Not imputable
trip,d_purpose_category,1,Home
trip,d_purpose_category,2,Work
trip,d_purpose_category,3,Work related
trip,d_purpose_category,4,School
trip,d_purpose_category,5,School related
trip,d_purpose_category,6,Escort
trip,d_purpose_category,7,Shop
trip,d_purpose_category,8,Meal
trip,d_purpose_category,9,Social recreation
trip,d_purpose_category,10,Errand
trip,d_purpose_category,11,Change mode
trip,d_purpose_category,12,Overnight
trip,d_purpose_category,13,Other
trip,d_purpose,-1,Not imputable
trip,d_purpose,1,Went home
trip,d_purpose,2,"Went to work, work-related, volunteer-related"
trip,d_purpose,3,Attended school/class
trip,d_purpose,4,"Appointment, shopping, or errands (e.g., gas)"
trip,d_purpose,5,"Dropped off, picked up, or accompanied another person"
trip,d_purpose,7,"Social, leisure, religious, entertainment activity"
trip,d_purpose,10,Went to primary workplace
trip,d_purpose,11,"Went to work-related activity (e.g., meeting, delivery, worksite)"
trip,d_purpose,13,Volunteering
trip,d_purpose,14,Other work-related
trip,d_purpose,21,Attend K-12 school
trip,d_purpose,22,Attend college/university
trip,d_purpose,23,"Attend other type of class (e.g., cooking class)"
trip,d_purpose,24,"Attend other education-related activity (e.g., field trip)"
trip,d_purpose,25,Attend vocational education class
trip,d_purpose,26,Attend daycare or preschool
trip,d_purpose,30,Grocery shopping
trip,d_purpose,31,Got gas
trip,d_purpose,32,"Other routine shopping (e.g., pharmacy)"
trip,d_purpose,33,"Errand without appointment (e.g., post office)"
trip,d_purpose,34,"Medical visit (e.g., doctor, dentist)"
trip,d_purpose,36,"Shopping for major item (e.g., furniture, car)"
trip,d_purpose,37,"Errand with appointment (e.g., haircut)"
trip,d_purpose,44,"Other activity only (e.g., attend meeting, pick-up or drop-off item)"
trip,d_purpose,45,Pick someone up
trip,d_purpose,46,Drop someone off
trip,d_purpose,47,"Accompany someone only (e.g., go along for the ride)"
trip,d_purpose,48,BOTH pick up AND drop off
trip,d_purpose,50,"Dined out, got coffee or take-out"
trip,d_purpose,51,"Exercise or recreation (e.g., gym, jog, bike, walk dog)"
trip,d_purpose,52,"Social activity (e.g., visit friends/relatives)"
trip,d_purpose,53,"Leisure/entertainment / cultural (e.g., cinema, museum, park)"
trip,d_purpose,54,Religious/civic/volunteer activity
trip,d_purpose,56,"Family activity (e.g., watch child's game)"
trip,d_purpose,60,"Changed or transferred mode (e.g., waited for bus or exited bus)"
trip,d_purpose,61,Other errand
trip,d_purpose,62,Other social/recreational trip
trip,d_purpose,99,Other reason
trip,d_purpose,150,"Went to another residence (e.g., someone else's home, second home)"
trip,d_purpose,152,"Went to temporary lodging (e.g., hotel, vacation rental)"
trip,d_purpose,995,Missing Response
trip,is_access,0,No
trip,is_access,1,Yes
trip,is_access,995,Missing response
trip,is_egress,0,No
trip,is_egress,1,Yes
trip,is_egress,995,Missing response
trip,transit_quality,SA,Is synthetic access
trip,transit_quality,SE,Is synthetic egress
trip,transit_quality,LD,Access/egress is long distance passenger mode
trip,transit_quality,"LD,MODE",Access/egress mode is not reported access/egress mode
trip,imputed_record_type,0,Not imputed
trip,imputed_record_type,1,Imputed from proxy
trip,imputed_record_type,2,Imputed school trip from attendance (no host trip)
trip,trace_quality_flag,0,No
trip,trace_quality_flag,1,Yes
trip,trace_quality_flag,995,Missing response
