trip_type,distance_miles_2mibin,trip_weight_sum
7,10,46195.137161284052
995,46,2261.2636680793244
995,8,87067.4866972788
995,12,65551.806063219788
995,10,65012.886309275855
5,46,3443.44152220906
7,8,76585.100138055917
7,0,637360.92956631014
7,2,378611.42222630454
7,12,59553.198315448513
995,0,673268.53812228783
995,6,136577.99935773545
5,0,1152253.4223278109
5,12,55833.001184225424
995,26,12564.157946996764
5,2,594176.98402255564
3,0,221109.14311747951
995,2,410561.87529132504
1,20,25841.216075855533
5,6,172516.99057619591
5,8,100526.64029813174
1,2,139341.87899499774
4,2,98420.307125983993
7,4,182738.1287758096
3,50,31.31744854493175
995,16,24089.068361232163
6,2248,977.762891281896
995,4,200267.36933227815
2,4,27829.394681154761
7,2248,993.667632348449
7,18,20010.2125243168
6,0,270132.88632290269
1,0,144565.64970631592
6,18,11458.947764921155
6,2,154897.66289831282
6,8,39484.572254341423
5,22,18807.893459726878
1,16,24501.854059934813
1,26,8222.75654007645
1,14,48095.279338647255
6,14,27738.591953597464
6,16,19538.037694831462
4,16,6320.9364353167821
6,4,90900.324026982256
6,6,56255.277000622162
7,6,96158.790701346836
4,8,15777.884153874762
3,2,194361.86513669477
995,790,25.157754414907171
1,92,12.0177766576465
5,16,37399.793884115941
5,10,77472.0571947645
2,1472,7.32344707961393
995,94,49.788340912348929
2,86,7.32344707961393
2,0,128870.1396493928
5,4,257135.33724169212
3,4,72464.80558033305
3,12,7998.1827056977954
7,14,36809.683349767358
5,18,19414.972904701619
4,4,37063.566523360256
995,14,48341.08593552294
995,42,5385.8453044428479
4,0,90336.763469089987
4,6,32490.333730185142
995,64,348.63514511854885
5,64,2759.2177643848077
1,4,97117.268828003027
3,6,32396.868180975722
1,32,4241.0677640925032
4,40,171.99026711113481
6,24,10733.9286304124
3,40,643.892227840546
3,42,286.31752830631058
6,10,29053.053719203835
1,10,52295.897840843689
6,20,8041.3537259240438
7,32,6292.087488682906
7,60,556.96473301907713
1,8,70448.109961523733
7,28,4100.9101786766814
3,8,24198.694843856927
6,30,5241.3330709984739
995,38,2402.1120520676927
7,36,11675.123199969312
7,34,10576.157614412821
5,14,37605.292198323557
995,24,14005.403026438749
995,22,16654.323475466794
5,38,4659.8066795498389
1,46,1796.7544255193645
995,50,2598.9680558581877
6,48,1855.4515915110035
1,50,290.829902431058
1,48,735.65008334545189
6,12,26920.659838425487
2,2,67761.963871428758
1,6,92716.026749776793
2,8,11010.913188547111
5,5976,38.3670346749575
6,42,3156.3128073953039
1,38,8175.4958873315636
6,36,3776.4757901308826
995,76,560.94142189917409
7,20,18868.817207663331
6,32,3607.1738643754406
1,40,4520.36894126519
995,28,8649.4258311176382
995,32,6703.59322867062
6,22,9223.2493459170946
3,10,12526.133149588895
4,42,165.603231645402
2,6,22815.498995677128
1,12,46433.224066281851
7,40,1003.6832815095283
6,2088,0.0
2,3678,230.763697775337
7,108,166.93293673585316
5,32,6930.6349821554941
5,20,22956.025226662769
7,24,8770.01365484231
5,24,21816.595492509314
5,34,6464.6750702995023
3,18,1534.3872536528759
5,82,1448.7417446394384
7,92,23.3385658961566
1,22,14858.50752094772
7,82,186.72126449064814
995,48,625.79544399934707
995,36,6017.5520072203508
995,68,73.1260761143666
7,68,141.68809692214697
5,30,6040.2442713280534
5,36,5880.1948943898151
5,26,16412.914241436461
995,20,14314.485440412345
6,34,2844.805011313349
7,46,1218.0936754045597
1,60,1267.5011294022113
6,60,2249.4251057434185
5,60,809.05435912918938
1,42,2854.1208606543323
7,438,250.795175084776
7,218,250.229558110467
995,216,0.0
995,214,0.0
5,216,0.0
5,214,289.1485837926374
7,16,23538.622733657277
5,48,1414.3467047625447
7,42,3043.2034104443569
5,44,5336.1834899849337
3,48,229.09989610257526
5,28,13027.709673455036
7,22,11023.951565617997
5,128,204.47912001472051
3,14,4802.5227783394539
995,30,5676.3243878100411
7,26,4313.01272480376
995,54,2082.492066117029
995,34,8127.8312659516614
2,36,1176.8923004671485
995,44,455.86298605693486
6,44,3245.7980101729981
7,152,0.0
7,258,0.0
2,26,1025.6891640580091
3,28,3392.5566208637392
2,14,2511.6298559182983
2,12,5953.3587036315857
4,20,6185.0361982134336
4,10,13723.987793454051
995,18,26079.157344681986
5,54,226.22595282036141
3,32,825.09163954264341
3,34,196.59770504430963
6,40,3163.4309575705688
5,94,0.0
6,38,2421.9272688313449
7,96,14.6958323200702
5,56,2432.1736766998647
995,528,78.5854633482932
7,176,24.5420898293584
1,34,7684.6076186798
5,52,1736.3158089047361
4,92,0.0
995,56,3691.7722043038539
1,30,6569.7595247418676
7,30,8227.29458232381
995,52,3086.8838517570507
7,54,290.64726588373452
3,24,2917.5775876540174
3,26,2723.4720735386277
1,18,22923.972634603455
5,40,3047.137528289712
3,20,2784.0393842452663
1,24,16899.382985785047
4,12,8998.1306038561142
4,18,9274.5165454338148
7,38,2806.2474100348841
4,14,7502.4905443335692
2,42,464.86104485913836
7,44,3601.627242125106
5,98,0.0
4,24,2050.4267635644028
3,52,55.244203174515604
2,10,8268.3311436522381
1,36,4485.54785085215
4,26,2850.9929065101178
6,28,8678.8357608200768
995,656,0.0
7,50,855.21670807515613
3,30,399.92031106748544
995,40,2933.5018384245523
3,46,1242.1961606936677
3,92,361.807477694859
5,70,253.86067892990869
995,70,89.307483232076265
5,50,928.60756527708361
5,68,791.06315794238878
7,52,202.59756530434777
3,110,44.579958944449309
7,48,802.44963231887971
995,58,926.39183816468517
7,58,2773.7538254437886
3,22,1464.0269473033741
4,22,4332.64180535664
4,34,2983.1302810291336
2,24,1595.7647948328911
2,20,1439.3802549260895
7,78,74.4950776541408
6,26,4690.429780974634
995,764,0.0
995,78,22.9462293899581
7,90,42.952807669177382
7,140,0.0
3,138,0.0
4,62,0.0
7,70,32.48345410864308
7,1728,0.0
5,88,15.546349888171182
5,66,14.937164686076109
995,66,895.38181131911608
3,16,3969.162589235737
1,28,9025.34079498001
7,232,0.0
6,58,1133.1668738960839
7,274,0.0
7,238,0.0
4,58,24.16302172575752
995,116,12.07986387605642
5,76,0.0
7,104,250.229558110467
7,88,433.16022322718442
7,1632,0.0
2,16,5958.4207641038847
1,44,2567.2353824143433
2,30,115.8229986797233
2,32,585.91893195076659
995,84,58.576014698241707
7,80,33.8532220640615
7,56,1123.7373166369414
5,206,0.0
7,334,0.0
995,206,0.0
995,334,0.0
5,204,0.0
7,900,9.65236096174609
7,212,0.0
5,264,0.0
5,62,894.390691555804
4,28,1623.2475284803097
5,42,2053.200960675777
4,36,72.744336356975282
3,36,797.25096321695435
995,410,88.10266179099699
995,652,0.0
7,652,0.0
995,476,0.0
2,58,0.0
1,54,498.63101730302014
3,62,2.43446713011543
1,56,776.08125732523081
995,130,0.0
1,76,40.637822878006034
995,62,784.01407899422782
995,120,25.1249051421022
995,212,0.0
995,150,25.1682568695566
995,60,242.79670166785687
2,18,2665.0763972175278
995,840,2.94495902779508
7,300,0.0
5,74,34.17117954793
3,72,0.0
995,800,5.94102927800023
6,46,1216.1925460697466
7,150,0.0
7,148,0.0
3,162,0.0
7,162,0.0
995,162,24.9081942897988
995,96,0.0
5,72,66.280715060972256
995,98,74.3581322181004
2,28,1339.2413961723671
5,78,0.0
2,22,3186.04717994006
5,116,82.0929301698528
995,118,31.132684157527112
7,136,12.1796339532309
995,136,0.0
2,44,140.76226436450941
3,134,0.0
995,104,55.083024755373039
2,134,0.0
3,104,0.0
6,946,0.0
7,220,0.0
7,66,247.04631727771039
7,122,0.0
1,234,17.271941729018
7,208,0.0
7,200,0.0
3,44,490.76332679735395
7,354,8.59837280646624
995,342,8.59837280646624
5,256,48.8690727423274
5,254,0.0
995,256,48.8690727423274
3,256,48.8690727423274
7,526,3.65411837516339
7,98,67.7625509113084
4,48,776.97429897567611
5,246,0.0
995,238,0.0
995,82,50.246463149170907
7,74,68.075617205947424
7,198,0.0
995,106,22.9494504025821
6,52,729.8669930048095
6,54,646.55151869282531
3,146,0.0
1,52,1042.6339906641117
4,32,2543.2963574272585
4,50,0.0
2,50,853.64910448906676
7,222,0.0
995,636,0.0
995,756,0.0
1,200,0.0
995,1650,11.104391504118
7,146,12.689165828794
2,38,211.5003912417458
2,146,13.466245762579581
7,114,93.057000378552388
6,64,123.8952759569553
1,72,82.651929448188326
6,56,940.64981737119649
3,78,44.20978806780235
995,526,4.12122327412455
995,198,0.0
5,198,0.0
7,72,111.932362785365
995,1086,0.0
995,1088,0.0
7,1094,0.0
7,1096,0.0
6,84,538.381212301962
6,66,16.2370763342695
3,190,0.0
5,190,9.58136414290946
5,108,22.240199446455239
995,190,0.0
7,188,9.58136414290946
3,108,9.58136414290946
6,70,29.93846188855272
1,70,686.26557847216179
995,2200,0.0
7,132,43.956595627888
995,132,274.81775548214273
995,628,2.74019870347649
995,520,2.74019870347649
6,120,235.004902303958
1,64,668.61771921682964
6,50,470.76422337599774
7,84,165.56934918372113
2,46,90.6812197828126
7,1400,237.469797297181
5,1400,237.469797297181
995,1400,249.7711173949734
995,2330,235.103592323798
995,2328,0.0
995,1930,235.103592323798
995,724,5.9943105711513
7,2330,0.0
7,1482,54.979776332435
2,34,288.67715771244394
7,76,95.131893864516044
5,80,5.96011607836765
995,86,21.1871978210687
3,80,107.1256978845
3,84,245.163773613958
4,84,5.96011607836765
6,102,17.776491404014
3,82,35.5415955716572
995,2062,0.0
995,2014,0.0
7,172,29.700413044472551
5,84,1097.4693039231588
995,80,44.8165043996472
5,58,3200.116067149665
6,2328,20.7254976050362
4,70,49.4497059160219
5,142,12.689165828794
5,146,25.378331657588
3,142,0.0
7,684,0.0
6,62,1019.5746567673657
7,116,85.1002243784435
4,30,1959.8217144176558
995,312,0.0
995,168,0.0
995,470,44.4021589012986
2,490,44.4021589012986
995,490,44.4021589012986
6,768,0.0
6,98,7.06917421309563
995,358,19.5030907504544
995,2078,0.0
6,76,283.80798202580638
7,1656,0.0
2,288,2.43631530141735
5,284,2.43631530141735
7,284,87.536539679860851
995,1890,16.96365859298356
6,1894,0.0
3,38,981.44723242263331
995,700,4556.1139589930262
995,108,79.7103722902402
5,86,18.856881354989209
3,64,76.8247250894372
995,2992,0.0
995,2990,0.0
1,80,0.0
1,82,4.41418901925917
3,74,0.0
5,112,0.0
5,492,2097.3313580220442
6,298,902.551594402151
7,4852,7.4144173361416
995,540,0.0
995,542,0.0
995,494,0.0
995,496,0.0
995,610,0.0
7,110,377.939192512888
995,534,114.2314810352182
995,390,217.75752931399
995,110,0.0
995,122,0.0
7,534,108.878764656995
2,52,0.0
7,246,223.17947633865
7,154,54.398981862570359
4,52,55.090707532826556
7,296,123.7508018649264
995,838,19.231380090727662
995,686,0.0
995,688,0.0
5,838,0.0
2,2676,0.0
995,2676,9.61569004536383
3,2176,0.0
2,2176,11.2196411919453
6,818,246.207954586429
4,38,619.2139095657858
995,1270,297.41357253269257
7,2144,244.639473392046
6,528,4.41418901925917
995,750,0.0
3,54,1048.575703723789
3,322,0.0
3,324,0.0
995,222,0.0
1,62,0.0
995,72,119.93866206516384
7,202,283.43682142581963
995,180,24.9935000394102
6,1388,0.0
4,44,44.352404189463556
6,354,0.0
7,1314,0.0
6,676,0.0
7,112,0.0
7,100,106.6367748861099
995,144,0.0
995,298,24.875149234921
3,294,16.0345940404644
5,1766,35.5476527916599
2,108,0.0
7,476,0.0
995,74,243.9548913573764
7,520,0.0
7,550,0.0
6,1248,0.0
7,102,131.885514215403
5,102,17.8164940003011
6,650,45.624880753558294
5,92,17.085589773965
1,84,293.32797500319356
6,72,33.8553457672897
995,242,49.8635969388342
995,1310,0.0
995,814,6.38830666882697
4,46,8.88699821454614
4,90,38.2697862070588
3,118,5.34235149730282
3,70,19.4151174051216
4,68,42.085944589027271
2,64,22.509835279253952
1,58,1879.4850339171253
6,750,0.0
3,90,0.0
3,98,0.0
995,1324,0.0
6,294,24.8325023276302
7,286,0.0
995,218,0.0
5,90,0.0
7,2176,22.819905329947
2,3936,0.0
7,64,150.74719308897477
995,1248,19.6322666134671
2,40,14.454055440804259
6,82,34.448304663775943
7,180,238.14673240699781
995,88,203.75067440564686
995,758,0.0
995,760,0.0
995,582,0.0
7,128,166.51790828575972
3,100,0.0
995,102,581.41302378596265
3,88,0.0
1,96,0.0
6,4982,0.0
5,238,0.0
7,62,606.24904028681976
7,120,0.0
995,92,23.3426439912044
6,764,25.3515980742101
4,98,5.93284837805846
6,110,0.0
995,646,0.0
995,648,0.0
995,138,0.0
995,140,0.0
7,160,37.701890701151257
6,160,32.2908844019097
7,158,33.166957902141611
4,122,105.10745748672
3,186,0.0
995,186,0.0
5,186,0.0
7,186,22.1797289589255
7,1526,15.5404324026139
995,142,15.9006672658578
5,386,0.0
1,144,0.0
3,96,34.190331596047
2,80,0.0
3,164,2.7445438229765
6,90,15.627463422539
1,68,1351.5524568893404
1,102,2938.84141258817
995,672,0.0
5,222,0.0
6,526,0.0
2,486,0.0
2,154,0.0
5,96,94.7412414848836
7,166,107.74402558969643
6,68,539.83531574187271
7,1116,24.2202321410163
7,106,63.4083957518249
995,286,0.0
995,324,0.0
995,506,10.705432756446379
995,1226,5.35271637822319
995,352,5.35271637822319
5,534,5.35271637822319
5,1276,5.35271637822319
3,340,0.0
6,290,0.0
1,86,29.8965047515348
6,190,20.7727326745766
5,100,0.0
1,264,0.0
5,170,257.59426337572967
5,282,0.0
6,2202,118.928866406832
7,142,30.5189371983788
6,80,9.58038209498589
7,94,407.2368537158531
6,1062,10.6414475028019
7,608,0.0
995,566,2.74734980682908
6,134,28.0938380826279
5,350,9.53996622032284
6,128,221.22474208630183
5,136,9.53996622032284
5,126,9.53996622032284
4,56,0.0
995,234,0.0
7,1984,235.449994111575
7,1986,235.449994111575
995,1318,4.23891513071401
995,310,35.991725309978591
995,1320,0.0
995,684,0.0
995,1228,111.703349962909
995,230,42.6006246222676
1,1894,0.0
6,88,5.98973556948379
995,1312,0.0
995,114,26.0271797441768
995,2904,0.0
7,1636,0.0
7,1470,0.0
6,1644,0.0
7,764,0.0
7,642,0.0
1,74,0.0
995,1446,0.0
5,270,6.47915776822463
995,612,0.0
5,122,0.0
5,140,144.060521746692
3,56,36.630127975536425
995,834,0.0
995,2256,421.754260651
7,192,0.0
7,190,317.06686966044
7,194,317.06686966044
5,194,317.06686966044
5,104,38.0007357113629
2,54,69.4091152445436
7,216,0.0
5,218,0.0
7,5980,28.2077207582188
995,440,26.9581036861516
5,212,8.89891214901666
5,210,8.89891214901666
1,88,13.935703403168
6,1890,6.34538622530855
6,412,972.405735778232
5,698,1506.43801050075
6,730,899.777244625201
995,304,29.387818365576852
7,310,0.0
5,310,0.0
3,128,0.0
7,126,2.7357968807298
3,60,0.0
7,648,0.0
6,256,0.0
6,1892,2.82632576106488
1,94,33.622718656380982
6,484,14.73208747120376
7,2056,0.0
995,1980,0.0
5,2192,0.0
995,1732,0.0
7,1980,0.0
7,278,181.342992371324
5,220,0.0
3,220,0.0
5,176,39.2325572852162
7,204,237.351159474917
995,202,96.2796460300376
995,174,96.2796460300376
5,130,0.0
5,202,0.0
5,174,0.0
7,184,0.0
5,114,0.0
995,152,0.0
995,742,0.0
6,252,20.6838459878616
995,328,39.1595323378554
3,332,38.4671241039838
4,332,38.4671241039838
3,182,0.0
995,134,7.4248734353911
5,134,11.3184046271206
3,308,0.0
7,308,0.0
7,270,0.0
6,260,0.0
6,226,0.0
995,258,0.0
6,2332,0.0
995,1640,12.3013200977924
995,1624,12.3013200977924
995,1408,12.3013200977924
7,1402,12.3013200977924
5,240,0.0
4,72,0.0
7,1376,27.7107312951577
7,170,48.1419435545386
3,170,17.3964209421469
4,66,37.9981692339326
7,256,0.0
5,260,12.9666171660029
7,174,5.94008260889451
7,750,0.0
995,746,5.94008260889451
6,560,5.94008260889451
3,174,5.94008260889451
3,120,74.8501803695657
3,114,74.8501803695657
3,152,74.8501803695657
3,124,428.50259646851868
3,126,74.8501803695657
2,60,5.92850781701165
6,758,24.9706765515693
6,788,24.9706765515693
5,756,0.0
4,168,17.3964209421469
5,168,34.7928418842938
1,100,8.88701954355433
995,5074,1505.58674347066
995,5068,376.396685867665
5,5068,752.79337173533
995,4948,145.281461632632
995,4952,145.281461632632
5,4852,145.281461632632
995,4858,145.281461632632
7,156,17.792810474395381
5,1352,414.639541662768
7,1000,0.0
995,1016,0.0
7,1016,0.0
6,212,0.0
3,122,353.652416098953
6,1202,0.0
995,730,68.9249679053288
6,86,5.98973556948379
6,94,0.0
4,100,0.0
6,508,27.0955113740245
6,92,23.5435393301196
5,250,0.0
5,110,17.842406002277
5,118,38.2511466760655
5,4226,91.9873320086552
1,156,78.6397705438295
995,154,61.8671199098622
3,154,95.8437179083844
2,150,47.9218589541922
6,172,1.95549178120853
995,272,439.531409968527
1,764,12.4175775662701
2,360,7.56707956506405
2,450,7.56707956506405
995,1912,64.5230920677762
2,66,24.3466402941445
995,450,10.1289452004585
1,436,12.6689017331954
995,436,9.96682031539014
995,,10.9261987512543
7,1420,628.934238491006
7,734,22.2369191785462
2,48,39.767936986193071
995,2262,10.676428294140679
995,1800,10.59098431770129
2,106,18.3467772692601
1,122,30.1070614988559
5,106,36.6935545385202
1,562,46.7607826094387
995,210,74.6031906432749
5,132,36.6935545385202
2,70,10.8711631063954
2,92,0.0
5,244,30.1115728841552
6,530,19.4385759499544
7,252,22.025185947824
7,214,196.323224073716
995,508,0.0
995,2438,0.0
995,126,988.343747023093
5,228,0.0
7,226,0.0
6,5832,49.3124390839902
995,5828,24.6562195419951
5,2026,37.9548061823907
7,168,0.0
6,1228,0.0
6,674,0.0
7,1464,41.2516426772645
6,144,0.0
995,1652,10.0271303011335
7,244,0.0
7,306,0.0
7,138,0.0
6,118,0.0
7,130,44.359457917851
5,124,0.0
5,338,0.0
995,338,0.0
995,254,0.0
995,2372,50.0471805859154
6,266,972.829372953777
6,112,0.0
1,180,0.0
995,530,529.520301889879
995,532,250.275214917766
995,160,0.0
1,178,0.0
1,304,0.0
6,114,0.0
6,278,16.110816087119069
6,254,6.09370759078547
6,1398,0.0
6,840,0.0
7,2084,0.0
7,404,0.0
995,3018,0.0
4,76,0.0
995,270,0.0
4,54,0.0
5,304,0.0
5,184,0.0
7,304,0.0
3,160,39.6121443528368
995,708,0.0
6,130,0.0
995,278,753.99699332079751
3,278,252.707556384731
6,276,252.707556384731
995,786,49.868084140175
995,320,25.2353914313624
7,712,0.0
995,710,0.0
995,698,0.0
7,164,0.0
995,156,0.0
7,144,0.0
5,380,0.0
995,380,0.0
3,58,0.0
995,1366,9.71217206586388
6,138,56.7979610968674
995,8034,24.1971418789779
995,8030,24.1971418789779
995,8024,24.1971418789779
6,740,15.6060254075937
3,266,0.0
7,118,0.0
6,2200,0.0
6,548,94.0103516647856
6,240,94.0103516647856
6,192,0.0
5,192,144.430210999575
6,108,0.0
995,1230,0.0
5,278,491.272328439733
1,158,0.0
995,2190,24.4777321420237
6,124,0.0
995,252,0.0
995,124,461.63457252469686
2,126,0.0
2,84,44.142884578811
7,298,50.2534175155212
6,204,0.0
6,362,0.0
5,180,54.5618619879082
7,368,0.0
995,692,0.0
6,166,0.0
3,94,0.0
4,94,23.9177498074739
995,2376,0.0
995,2100,387.792362398035
995,2102,387.792362398035
7,506,0.0
6,96,0.0
7,1890,0.0
6,2180,24.8848043961111
1,138,0.0
7,528,50.7356472494924
5,782,77.3409256852017
6,74,0.0
2,1146,17.9860769107919
995,732,50.5696702639352
7,312,0.0
1,66,0.0
7,960,21.0439116890605
7,260,0.0
995,638,0.0
995,5070,20.7044064671398
3,116,0.0
5,298,0.0
7,288,0.0
995,1984,0.0
995,1998,0.0
995,2204,0.0
995,1996,0.0
995,1986,0.0
995,438,0.0
995,128,24.9025548941983
995,844,0.0
995,702,0.0
6,5074,0.0
6,606,0.0
995,1480,0.0
7,758,0.0
5,302,12.2922954811905
6,438,0.0
7,708,2.84353367816376
995,634,2.84353367816376
995,588,11.374134712655041
7,2222,10.8799835937026
1,1194,13.6297138783912
2,56,2.58681211772677
995,504,10.7703596639803
6,814,10.5979682364318
7,124,0.0
1,140,0.0
995,514,0.0
995,516,0.0
995,990,10.8311610563747
6,1232,10.6577964358077
3,68,0.0
7,266,0.0
7,240,0.0
7,206,0.0
7,2174,0.0
6,336,0.0
2,14206,16.0029795089989
1,7104,16.0029795089989
1,7102,16.0029795089989
3,144,35.5198367414642
995,446,326.18926932155
7,182,224.41687116659
995,300,8.30629080013135
1,170,0.0
6,180,0.0
6,282,10.0207072137039
5,188,18.2982679608785
6,170,2.79233694774165
1,196,0.0
7,582,0.0
7,134,0.0
7,998,0.0
6,214,10.6148207376664
995,166,14.999965734637041
7,248,10.8111040242615
6,2360,10.8897778269291
7,2360,19.50206532599536
5,394,2.7357968807298
995,2694,2.7357968807298
995,394,2.7357968807298
3,112,2.7357968807298
995,2752,2.7357968807298
995,112,2.7357968807298
6,838,0.0
995,5014,113.35098701797
7,254,0.0
5,120,0.0
6,1230,0.0